KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
0,1,0,0,1,1,1,16:28:01,6
0,1,0,0,1,1,1,23:07:46,6
0,1,0,0,1,1,1,19:38:18,6
0,1,0,0,1,1,1,18:42:53,6
0,1,0,0,1,1,1,8:54:42,6
0,1,0,0,1,1,1,8:08:00,6
0,1,0,0,1,1,1,14:57:26,6
0,1,0,0,1,1,1,14:12:34,6
0,1,0,0,1,1,1,13:21:16,6
0,1,0,0,1,1,1,12:39:08,6
0,1,0,0,1,1,1,7:42:35,6
0,1,0,0,1,1,1,17:57:05,6
0,1,0,0,1,1,1,0:18:06,6
0,1,0,0,1,1,1,17:13:11,6
0,1,0,0,1,1,1,11:50:40,6
0,1,0,0,1,1,1,10:20:43,6
0,1,0,0,1,1,1,11:15:52,6
0,1,0,0,1,1,1,9:39:18,6
0,1,0,0,1,1,1,8:39:05,6
0,1,0,0,1,1,1,5:54:28,6
0,1,0,0,1,1,1,6:35:22,6
0,1,0,0,1,1,1,1:20:27,6
0,1,0,0,1,1,1,5:11:01,6
0,1,0,0,1,1,1,7:31:17,6
0,1,0,0,1,1,1,0:50:46,6
0,1,0,0,1,1,1,6:38:19,6
0,1,0,0,1,1,1,1:36:05,6
0,1,0,0,1,1,1,9:56:43,6
0,1,0,0,1,1,1,8:39:00,6
0,1,0,0,1,1,1,10:39:45,6
0,1,0,0,1,1,1,17:48:57,6
0,1,0,0,1,1,1,7:43:30,6
0,1,0,0,1,1,1,9:14:06,6
0,1,0,0,1,1,1,14:54:49,6
0,1,0,0,1,1,1,12:04:24,6
0,1,0,0,1,1,1,13:32:21,6
0,1,0,0,1,1,1,14:17:28,6
0,1,0,0,1,1,1,17:04:43,6
0,1,0,0,1,1,1,4:16:46,5
0,1,0,0,1,1,1,8:09:44,5
0,1,0,0,1,1,1,2:20:43,5
0,1,0,0,1,1,1,18:35:03,5
0,1,0,0,1,1,1,22:47:11,4
0,1,0,0,1,1,1,3:00:14,4
0,1,0,0,1,1,1,4:35:49,4
0,1,0,0,1,1,1,18:00:45,2
0,1,0,0,1,1,1,17:20:36,2
0,1,0,0,1,1,1,16:43:51,2
0,1,0,0,1,1,1,22:02:33,2
0,1,0,0,1,1,1,20:35:13,2
0,1,0,0,1,1,1,0:20:12,2
0,1,0,0,1,1,1,22:47:04,2
0,1,0,0,1,1,1,23:33:40,2
0,1,0,0,1,1,1,15:46:31,2
0,1,0,0,1,1,1,19:40:00,2
0,1,0,0,1,1,1,21:11:52,2
0,1,0,0,1,1,1,14:59:52,2
0,1,0,0,1,1,1,18:50:55,2
0,1,0,0,1,1,1,15:43:43,2
0,1,0,0,1,1,1,5:21:47,2
0,1,0,0,1,1,1,22:31:26,1
0,1,1,0,1,1,1,15:46:31,1
0,1,1,0,1,1,1,19:40:00,1
0,1,1,0,1,1,1,21:11:52,1
0,1,1,0,1,1,1,14:59:52,1
0,1,1,0,1,1,1,20:35:13,1
0,1,1,0,1,1,1,22:02:33,1
0,1,1,0,1,1,1,16:43:51,1
0,1,1,0,1,1,1,17:20:36,1
