DBSCAN,RUL_class,count
810,Healthy,5
811,Healthy,15
812,Healthy,5
813,Healthy,5
814,Healthy,5
815,Healthy,5
816,Healthy,5
817,Healthy,5
818,Healthy,5
819,Healthy,10
820,Healthy,5
821,Healthy,5
822,Healthy,5
823,Healthy,5
824,Healthy,5
825,Healthy,7
826,Healthy,7
827,Healthy,7
828,Healthy,7
829,Healthy,7
830,Healthy,7
831,Healthy,7
832,Healthy,4
832,Critical,2
832,Low,1
833,Healthy,4
833,Critical,2
833,Low,1
834,Healthy,8
834,Critical,4
834,Low,2
835,Healthy,4
835,Critical,2
835,Low,1
836,Healthy,7
837,Healthy,7
838,Healthy,84
839,Healthy,7
840,Healthy,7
841,Healthy,28
841,Medium,4
841,Low,3
841,Critical,1
842,Healthy,9
843,Healthy,9
844,Healthy,9
845,Healthy,9
846,Healthy,9
847,Healthy,9
848,Healthy,9
849,Healthy,8
849,Critical,1
850,Healthy,8
850,Critical,1
851,Healthy,7
851,Medium,1
851,Critical,1
852,Healthy,7
852,Critical,1
852,Medium,1
853,Healthy,7
853,Medium,1
853,Critical,1
854,Healthy,8
854,Critical,1
855,Healthy,9
856,Healthy,7
856,Medium,1
856,Low,1
857,Healthy,7
857,Low,1
857,Medium,1
858,Healthy,7
858,Medium,1
858,Low,1
859,Healthy,7
859,Medium,1
859,Low,1
860,Healthy,7
861,Healthy,7
862,Healthy,7
863,Healthy,7
864,Healthy,7
865,Healthy,14
866,Healthy,7
867,Healthy,7
868,Healthy,7
869,Healthy,7
870,Healthy,35
871,Healthy,14
872,Healthy,7
873,Healthy,7
874,Healthy,7
875,Healthy,7
876,Healthy,7
877,Healthy,7
878,Healthy,21
879,Healthy,7
880,Healthy,49
881,Healthy,50
882,Healthy,10
883,Healthy,10
884,Healthy,10
885,Healthy,10
886,Healthy,10
887,Healthy,10
888,Healthy,10
889,Healthy,10
890,Healthy,50
891,Healthy,10
892,Healthy,50
893,Healthy,10
894,Healthy,10
895,Healthy,10
896,Healthy,10
897,Healthy,10
898,Healthy,10
899,Healthy,10
900,Healthy,60
901,Healthy,10
902,Healthy,10
903,Healthy,20
904,Healthy,10
905,Healthy,10
906,Healthy,10
907,Healthy,20
908,Healthy,10
909,Healthy,10
910,Healthy,10
911,Healthy,10
912,Healthy,20
913,Healthy,10
914,Healthy,6
915,Healthy,6
916,Healthy,15
917,Healthy,6
918,Healthy,6
919,Healthy,6
920,Healthy,6
921,Healthy,12
922,Healthy,6
923,Healthy,6
924,Healthy,30
925,Healthy,6
926,Healthy,6
927,Healthy,6
928,Healthy,6
929,Healthy,6
930,Healthy,6
931,Healthy,6
932,Healthy,6
933,Healthy,6
934,Healthy,6
935,Healthy,6
936,Healthy,6
937,Healthy,6
938,Healthy,6
939,Healthy,6
940,Healthy,27
941,Healthy,9
942,Healthy,9
943,Healthy,9
944,Healthy,9
945,Healthy,9
946,Healthy,9
947,Healthy,9
948,Healthy,63
949,Healthy,9
950,Healthy,9
951,Healthy,9
952,Healthy,9
953,Healthy,9
954,Healthy,9
955,Healthy,9
956,Healthy,9
957,Healthy,9
958,Healthy,6
959,Healthy,6
960,Healthy,12
961,Healthy,6
962,Healthy,6
963,Healthy,6
964,Healthy,6
965,Healthy,6
966,Healthy,6
967,Healthy,6
968,Healthy,6
969,Healthy,30
970,Healthy,6
971,Healthy,6
972,Healthy,18
973,Healthy,6
974,Healthy,6
975,Healthy,6
976,Healthy,6
977,Healthy,6
978,Healthy,6
979,Healthy,6
980,Healthy,6
981,Healthy,6
982,Healthy,6
983,Healthy,6
984,Healthy,6
