RUL_class,time_temperature_measurement1,count
Low,17:45:00,11
Low,15:00:00,11
Low,17:25:00,11
Low,12:35:00,11
Low,15:56:00,11
Low,12:15:00,11
Low,14:25:00,11
Low,8:25:00,11
Low,16:25:00,11
Low,2:38:00,11
Low,1:10:00,10
Low,22:15:00,10
Low,5:38:00,10
Low,2:31:00,10
Low,8:50:00,10
Low,11:49:00,10
Low,23:02:00,10
Low,10:01:00,10
Low,9:20:00,10
Low,20:55:00,10
Low,0:31:00,10
Low,18:20:00,10
Low,23:27:00,10
Low,1:04:00,10
Low,18:50:00,10
Low,6:06:00,10
Low,7:30:00,10
Low,4:45:00,10
Low,23:15:00,10
Low,23:48:00,10
Low,7:40:00,10
Low,19:27:00,10
Low,16:20:00,10
Low,15:35:00,10
Low,2:10:00,10
Low,16:05:00,10
Low,7:03:00,10
Low,19:25:00,10
Low,9:50:00,10
Low,11:40:00,10
Low,18:40:00,10
Low,23:10:00,10
Low,6:29:00,10
Low,18:25:00,10
Low,22:07:00,10
Low,5:05:00,10
Low,11:22:00,10
Low,11:15:00,10
Low,9:30:00,10
Low,0:45:00,10
Low,16:00:00,10
Low,22:54:00,10
Low,19:32:00,10
Low,9:13:00,10
Low,4:15:00,9
Low,21:33:00,9
Low,16:29:00,9
Low,14:08:00,9
Low,14:53:00,9
Low,18:49:00,9
Low,11:04:00,9
Low,11:25:00,9
Low,5:13:00,9
Low,10:46:00,9
Low,11:05:00,9
Low,6:40:00,9
Low,10:47:00,9
Low,4:00:00,9
Low,17:55:00,9
Low,20:20:00,9
Low,19:00:00,9
Low,3:03:00,9
Low,23:08:00,9
Low,1:00:00,9
Low,20:45:00,9
Low,17:00:00,9
Low,8:05:00,9
Low,5:41:00,9
Low,4:24:00,9
Low,16:38:00,9
Low,10:55:00,9
Low,15:15:00,9
Low,0:52:00,9
Low,21:48:00,9
Low,19:06:00,9
Low,1:35:00,9
Low,12:40:00,9
Low,14:41:00,9
Low,6:35:00,9
Low,4:06:00,9
Low,8:27:00,9
Low,9:55:00,9
Low,9:05:00,9
Low,0:21:00,9
Low,10:41:00,9
Low,7:46:00,9
Low,5:34:00,9
Low,19:51:00,8
Low,12:45:00,8
Low,17:16:00,8
Low,18:02:00,8
Low,20:37:00,8
Low,8:49:00,8
Low,18:42:00,8
Low,19:02:00,8
Low,18:22:00,8
Low,9:40:00,8
Low,3:51:00,8
Low,14:26:00,8
Low,0:25:00,8
Low,13:00:00,8
Low,15:45:00,8
Low,0:02:00,8
Low,0:40:00,8
Low,20:35:00,8
Low,10:40:00,8
Low,17:08:00,8
Low,21:20:00,8
Low,14:15:00,8
Low,21:05:00,8
Low,7:10:00,8
Low,11:00:00,8
Low,18:30:00,8
