IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,1,1,5:41:00,16
1,1,1,10:10:00,16
1,1,1,10:50:00,16
1,1,1,0:06:00,16
1,1,1,15:15:00,16
1,1,1,11:27:00,16
1,1,1,11:00:00,16
1,1,1,8:24:00,16
1,1,1,17:21:00,16
1,1,1,9:38:00,16
1,1,1,16:55:00,16
1,1,1,21:53:00,16
1,1,1,5:12:00,16
1,1,1,8:49:00,16
1,1,1,21:33:00,16
1,1,1,7:44:00,16
1,1,1,1:22:00,16
1,1,1,9:40:00,16
1,1,1,13:29:00,16
1,1,1,18:42:00,16
1,1,1,12:44:00,16
1,1,1,9:53:00,16
1,1,1,2:20:00,16
1,1,1,23:41:00,16
1,1,1,1:27:00,15
1,1,1,8:19:00,15
1,1,1,11:54:00,15
1,1,1,10:33:00,15
1,1,1,5:07:00,15
1,1,1,2:28:00,15
1,1,1,2:41:00,15
1,1,1,7:15:00,15
1,1,1,23:17:00,15
1,1,1,22:42:00,15
1,1,1,19:59:00,15
1,1,1,22:03:00,15
1,1,1,9:18:00,15
1,1,1,6:29:00,15
1,1,1,17:52:00,15
1,1,1,13:45:00,15
1,1,1,14:30:00,15
1,1,1,17:48:00,15
1,1,1,15:45:00,15
1,1,1,3:23:00,15
1,1,1,21:43:00,15
1,1,1,20:58:00,15
1,1,1,8:38:00,15
1,1,1,7:06:00,15
1,1,1,6:37:00,15
1,1,1,20:30:00,15
1,1,1,0:50:00,14
1,1,1,11:14:00,14
1,1,1,5:15:00,14
1,1,1,23:50:00,14
1,1,1,9:15:00,14
1,1,1,15:50:00,14
1,1,1,23:04:00,14
1,1,1,15:16:00,14
1,1,1,15:58:00,14
1,1,1,17:22:00,14
1,1,1,0:43:00,14
1,1,1,11:06:00,14
1,1,1,13:05:00,14
1,1,1,21:15:00,14
1,1,1,21:50:00,14
1,1,1,9:47:00,14
1,1,1,2:26:00,14
1,1,1,4:06:00,14
1,1,1,5:34:00,14
1,1,1,9:13:00,14
1,1,1,4:48:00,14
1,1,1,9:32:00,14
1,1,1,3:32:00,14
1,1,1,12:47:00,14
1,1,1,12:05:00,14
1,1,1,8:23:00,14
1,1,1,5:32:00,14
1,1,1,4:08:00,14
1,1,1,23:46:00,14
1,1,1,18:05:00,14
1,1,1,2:06:00,14
1,1,1,19:13:00,14
1,1,1,8:08:00,14
1,1,1,21:35:00,14
1,1,1,14:45:00,13
1,1,1,20:26:00,13
1,1,1,0:12:00,13
1,1,1,23:51:00,13
1,1,1,1:18:00,13
1,1,1,13:57:00,13
1,1,1,0:44:00,13
1,1,1,1:26:00,13
1,1,1,13:13:00,13
1,1,1,19:25:00,13
1,1,1,21:36:00,13
1,1,1,23:22:00,13
1,1,1,4:25:00,13
1,1,1,20:00:00,13
1,1,1,11:50:00,13
1,1,1,12:09:00,13
1,1,1,6:49:00,13
1,1,1,6:07:00,13
1,1,1,18:37:00,13
1,1,1,2:37:00,13
1,1,1,23:53:00,13
1,1,1,17:38:00,13
1,1,1,23:58:00,13
1,1,1,14:25:00,13
1,1,1,13:54:00,13
1,1,1,5:31:00,13
1,1,1,5:38:00,13
1,1,1,2:31:00,13
1,1,1,11:49:00,13
1,1,1,17:16:00,13
1,1,1,14:53:00,13
1,1,1,22:08:00,13
1,1,1,1:54:00,13
1,1,1,11:24:00,13
1,1,1,17:08:00,13
1,1,1,15:33:00,13
1,1,1,5:11:00,13
1,1,1,15:12:00,13
1,1,1,12:07:00,13
1,1,1,15:57:00,13
1,1,1,3:07:00,13
1,1,1,15:02:00,13
1,1,1,10:16:00,13
1,1,1,23:47:00,13
1,1,1,0:42:00,13
1,1,1,8:42:00,13
1,1,1,6:46:00,13
1,1,1,7:01:00,13
1,1,1,6:36:00,13
1,1,1,17:53:00,13
1,1,1,4:36:00,13
1,1,1,5:17:00,13
1,1,1,11:23:00,13
1,1,1,9:48:00,12
1,1,1,3:03:00,12
1,1,1,13:19:00,12
1,1,1,23:05:00,12
1,1,1,21:06:00,12
1,1,1,11:30:00,12
1,1,1,7:42:00,12
1,1,1,4:24:00,12
1,1,1,5:04:00,12
1,1,1,11:10:00,12
1,1,1,14:32:00,12
1,1,1,7:57:00,12
1,1,1,13:37:00,12
1,1,1,15:42:00,12
1,1,1,3:16:00,12
1,1,1,19:49:00,12
1,1,1,13:15:00,12
1,1,1,9:30:00,12
1,1,1,16:37:00,12
1,1,1,18:47:00,12
1,1,1,18:06:00,12
1,1,1,4:22:00,12
1,1,1,2:12:00,12
1,1,1,7:38:00,12
1,1,1,8:18:00,12
1,1,1,8:58:00,12
1,1,1,9:36:00,12
1,1,1,16:04:00,12
1,1,1,13:28:00,12
1,1,1,12:48:00,12
1,1,1,11:29:00,12
1,1,1,10:51:00,12
1,1,1,10:14:00,12
1,1,1,6:10:00,12
1,1,1,12:13:00,12
1,1,1,13:39:00,12
1,1,1,7:48:00,12
1,1,1,4:54:00,12
1,1,1,23:55:00,12
1,1,1,0:21:00,12
1,1,1,19:32:00,12
1,1,1,4:52:00,12
1,1,1,19:38:00,12
1,1,1,23:27:00,12
1,1,1,18:08:00,12
1,1,1,18:02:00,12
1,1,1,16:29:00,12
1,1,1,0:05:00,12
1,1,1,23:48:00,12
1,1,1,7:52:00,12
1,1,1,9:58:00,12
1,1,1,14:49:00,12
1,1,1,12:31:00,12
1,1,1,12:26:00,12
1,1,1,5:10:00,12
1,1,1,22:29:00,12
1,1,1,19:28:00,12
1,1,1,16:10:00,12
1,1,1,0:30:00,12
1,1,1,5:18:00,12
1,1,1,4:50:00,12
1,1,1,21:46:00,11
1,1,1,18:16:00,11
1,1,1,8:21:00,11
1,1,1,9:01:00,11
1,1,1,9:42:00,11
1,1,1,14:29:00,11
1,1,1,2:11:00,11
1,1,1,8:39:00,11
1,1,1,18:32:00,11
1,1,1,14:00:00,11
1,1,1,15:14:00,11
1,1,1,4:05:00,11
1,1,1,11:11:00,11
1,1,1,21:02:00,11
1,1,1,11:31:00,11
1,1,1,7:54:00,11
