KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sleeve,count
0,1,311,0,1,1,1,30014144,1
0,1,311,0,1,1,1,30013873,1
0,1,311,0,1,1,1,30014189,1
0,1,311,0,1,1,1,30014138,1
0,1,311,0,1,1,1,30013876,1
0,1,311,0,1,1,1,30014190,1
0,1,311,0,1,1,1,30013874,1
0,1,311,0,1,1,1,30014192,1
0,1,311,0,1,1,1,30014143,1
0,1,311,0,1,1,1,30014193,1
0,1,311,0,1,1,1,30014140,1
0,1,311,0,1,1,1,30014191,1
0,1,312,0,-1,-1,-1,30014192,1
0,1,312,0,-1,-1,-1,30014193,1
0,1,312,0,-1,-1,1,30014187,1
0,1,312,0,-1,-1,1,30014144,1
0,1,312,0,-1,-1,1,30013873,1
0,1,312,0,-1,-1,1,30013876,1
0,1,312,0,-1,-1,1,30014138,1
0,1,312,0,-1,-1,1,30014189,1
0,1,312,0,-1,-1,1,30014190,1
0,1,312,0,-1,-1,1,30014143,1
0,1,312,0,-1,-1,1,30014140,1
0,1,312,0,-1,-1,1,30013874,1
0,1,312,0,-1,-1,1,30014191,1
0,1,313,0,-1,1,-1,30014187,1
0,1,313,0,-1,1,-1,30013873,1
0,1,313,0,-1,1,-1,30014144,1
0,1,313,0,-1,1,-1,30013876,1
0,1,313,0,-1,1,-1,30014138,1
0,1,313,0,-1,1,-1,30014189,1
0,1,313,0,-1,1,-1,30014190,1
0,1,313,0,-1,1,-1,30014143,1
0,1,313,0,-1,1,-1,30014192,1
0,1,313,0,-1,1,-1,30014193,1
0,1,313,0,-1,1,-1,30013874,1
0,1,313,0,-1,1,-1,30014191,1
0,1,313,0,-1,1,1,30014140,1
0,1,314,0,1,1,-1,30014187,1
0,1,314,0,1,1,-1,30014189,1
0,1,314,0,1,1,-1,30013876,1
0,1,314,0,1,1,-1,30014190,1
0,1,314,0,1,1,-1,30013874,1
0,1,314,0,1,1,-1,30014143,1
0,1,314,0,1,1,-1,30014192,1
0,1,314,0,1,1,-1,30014193,1
0,1,314,0,1,1,-1,30014191,1
0,1,314,0,1,1,1,30014144,1
0,1,314,0,1,1,1,30013873,1
0,1,314,0,1,1,1,30014138,1
0,1,314,0,1,1,1,30014140,1
0,1,315,0,1,1,1,30013873,1
0,1,315,0,1,1,1,30014189,1
0,1,315,0,1,1,1,30013874,1
0,1,315,0,1,1,1,30013876,1
0,1,315,0,1,1,1,30014193,1
0,1,315,0,1,1,1,30014192,1
0,1,315,0,1,1,1,30014143,1
0,1,315,0,1,1,1,30014190,1
